10,/home/nxw500/data/LazFilesWithHeightRemoved/PUNKTSKY_00005_1km_6205_513_height_filtered.laz,0.9900774367495375,0.4626246863132223,8371408,63794,4498588,0.4626246863132223,633,{'canny_lower': 14, 'canny_upper': 197, 'cc_area': 9085, 'closing_kernel_size': 5, 'distance_resolution': 3, 'hough_lines_treshold': 29, 'max_line_gap': 39, 'meters_around_line': 7, 'min_line_length': 7, 'opening_kernel_size': 3, 'path': '/home/nxw500/data/', 'simplify_tolerance': 8, 'small_dialation_kernel': 3}
11,/home/nxw500/data/LazFilesWithHeightRemoved/PUNKTSKY_00005_1km_6211_474_height_filtered.laz,0.9966725323948168,0.0275345052012409,3029181,31255,2945774,0.0275345052012409,104,{'canny_lower': 14, 'canny_upper': 197, 'cc_area': 9085, 'closing_kernel_size': 5, 'distance_resolution': 3, 'hough_lines_treshold': 29, 'max_line_gap': 39, 'meters_around_line': 7, 'min_line_length': 7, 'opening_kernel_size': 3, 'path': '/home/nxw500/data/', 'simplify_tolerance': 8, 'small_dialation_kernel': 3}
12,/home/nxw500/data/LazFilesWithHeightRemoved/PUNKTSKY_00005_1km_6219_494_height_filtered.laz,1.0,0.09136524843571547,3227354,18238,2932486,0.09136524843571547,0,{'canny_lower': 14, 'canny_upper': 197, 'cc_area': 9085, 'closing_kernel_size': 5, 'distance_resolution': 3, 'hough_lines_treshold': 29, 'max_line_gap': 39, 'meters_around_line': 7, 'min_line_length': 7, 'opening_kernel_size': 3, 'path': '/home/nxw500/data/', 'simplify_tolerance': 8, 'small_dialation_kernel': 3}
13,/home/nxw500/data/LazFilesWithHeightRemoved/PUNKTSKY_00005_1km_6220_495_height_filtered.laz,0.9981993877918492,0.02112894922326325,3999489,16661,3914984,0.02112894922326325,30,{'canny_lower': 14, 'canny_upper': 197, 'cc_area': 9085, 'closing_kernel_size': 5, 'distance_resolution': 3, 'hough_lines_treshold': 29, 'max_line_gap': 39, 'meters_around_line': 7, 'min_line_length': 7, 'opening_kernel_size': 3, 'path': '/home/nxw500/data/', 'simplify_tolerance': 8, 'small_dialation_kernel': 3}
14,/home/nxw500/data/LazFilesWithHeightRemoved/PUNKTSKY_00005_1km_6221_452_height_filtered.laz,0.0,1.0,47313,8659,0,1.0,8659,{'canny_lower': 14, 'canny_upper': 197, 'cc_area': 9085, 'closing_kernel_size': 5, 'distance_resolution': 3, 'hough_lines_treshold': 29, 'max_line_gap': 39, 'meters_around_line': 7, 'min_line_length': 7, 'opening_kernel_size': 3, 'path': '/home/nxw500/data/', 'simplify_tolerance': 8, 'small_dialation_kernel': 3}
0,/home/nxw500/data/LazFilesWithHeightRemoved/PUNKTSKY_00005_1km_6134_518_height_filtered.laz,0.9985022466300549,0.5361812392498702,3305774,10015,1533280,0.5361812392498702,15,{'canny_lower': 24, 'canny_upper': 59, 'cc_area': 3429, 'closing_kernel_size': 3, 'distance_resolution': 3, 'hough_lines_treshold': 55, 'max_line_gap': 32, 'meters_around_line': 6, 'min_line_length': 41, 'opening_kernel_size': 3, 'path': '/home/nxw500/data/', 'simplify_tolerance': 8, 'small_dialation_kernel': 3}
1,/home/nxw500/data/LazFilesWithHeightRemoved/PUNKTSKY_00005_1km_6146_468_height_filtered.laz,0.9983530961791831,0.008474091545499385,3619031,78936,3588363,0.008474091545499385,130,{'canny_lower': 24, 'canny_upper': 59, 'cc_area': 3429, 'closing_kernel_size': 3, 'distance_resolution': 3, 'hough_lines_treshold': 55, 'max_line_gap': 32, 'meters_around_line': 6, 'min_line_length': 41, 'opening_kernel_size': 3, 'path': '/home/nxw500/data/', 'simplify_tolerance': 8, 'small_dialation_kernel': 3}
2,/home/nxw500/data/LazFilesWithHeightRemoved/PUNKTSKY_00005_1km_6161_465_height_filtered.laz,0.7972954699121028,0.48593856314538963,6931084,7395,3563003,0.48593856314538963,1499,{'canny_lower': 24, 'canny_upper': 59, 'cc_area': 3429, 'closing_kernel_size': 3, 'distance_resolution': 3, 'hough_lines_treshold': 55, 'max_line_gap': 32, 'meters_around_line': 6, 'min_line_length': 41, 'opening_kernel_size': 3, 'path': '/home/nxw500/data/', 'simplify_tolerance': 8, 'small_dialation_kernel': 3}
3,/home/nxw500/data/LazFilesWithHeightRemoved/PUNKTSKY_00005_1km_6162_472_height_filtered.laz,0.9927539459812612,0.02677462736222591,3627987,67347,3530849,0.02677462736222591,488,{'canny_lower': 24, 'canny_upper': 59, 'cc_area': 3429, 'closing_kernel_size': 3, 'distance_resolution': 3, 'hough_lines_treshold': 55, 'max_line_gap': 32, 'meters_around_line': 6, 'min_line_length': 41, 'opening_kernel_size': 3, 'path': '/home/nxw500/data/', 'simplify_tolerance': 8, 'small_dialation_kernel': 3}
4,/home/nxw500/data/LazFilesWithHeightRemoved/PUNKTSKY_00005_1km_6163_472_height_filtered.laz,0.9753360607831677,0.06895287193776267,8897947,59885,8284408,0.06895287193776267,1477,{'canny_lower': 24, 'canny_upper': 59, 'cc_area': 3429, 'closing_kernel_size': 3, 'distance_resolution': 3, 'hough_lines_treshold': 55, 'max_line_gap': 32, 'meters_around_line': 6, 'min_line_length': 41, 'opening_kernel_size': 3, 'path': '/home/nxw500/data/', 'simplify_tolerance': 8, 'small_dialation_kernel': 3}
5,/home/nxw500/data/LazFilesWithHeightRemoved/PUNKTSKY_00005_1km_6167_473_height_filtered.laz,0.9900594687919638,0.06303713037969061,11446476,57341,10724923,0.06303713037969061,570,{'canny_lower': 24, 'canny_upper': 59, 'cc_area': 3429, 'closing_kernel_size': 3, 'distance_resolution': 3, 'hough_lines_treshold': 55, 'max_line_gap': 32, 'meters_around_line': 6, 'min_line_length': 41, 'opening_kernel_size': 3, 'path': '/home/nxw500/data/', 'simplify_tolerance': 8, 'small_dialation_kernel': 3}
6,/home/nxw500/data/LazFilesWithHeightRemoved/PUNKTSKY_00005_1km_6167_474_height_filtered.laz,0.9830721003134796,0.05406016610312925,16966929,15950,16049694,0.05406016610312925,270,{'canny_lower': 24, 'canny_upper': 59, 'cc_area': 3429, 'closing_kernel_size': 3, 'distance_resolution': 3, 'hough_lines_treshold': 55, 'max_line_gap': 32, 'meters_around_line': 6, 'min_line_length': 41, 'opening_kernel_size': 3, 'path': '/home/nxw500/data/', 'simplify_tolerance': 8, 'small_dialation_kernel': 3}
7,/home/nxw500/data/LazFilesWithHeightRemoved/PUNKTSKY_00005_1km_6167_475_height_filtered.laz,0.9882889021378077,0.041736341088313256,16146528,23482,15472631,0.041736341088313256,275,{'canny_lower': 24, 'canny_upper': 59, 'cc_area': 3429, 'closing_kernel_size': 3, 'distance_resolution': 3, 'hough_lines_treshold': 55, 'max_line_gap': 32, 'meters_around_line': 6, 'min_line_length': 41, 'opening_kernel_size': 3, 'path': '/home/nxw500/data/', 'simplify_tolerance': 8, 'small_dialation_kernel': 3}
8,/home/nxw500/data/LazFilesWithHeightRemoved/PUNKTSKY_00005_1km_6168_458_height_filtered.laz,0.9988228369629194,0.3288095127999825,1643596,15291,1103166,0.3288095127999825,18,{'canny_lower': 24, 'canny_upper': 59, 'cc_area': 3429, 'closing_kernel_size': 3, 'distance_resolution': 3, 'hough_lines_treshold': 55, 'max_line_gap': 32, 'meters_around_line': 6, 'min_line_length': 41, 'opening_kernel_size': 3, 'path': '/home/nxw500/data/', 'simplify_tolerance': 8, 'small_dialation_kernel': 3}
9,/home/nxw500/data/LazFilesWithHeightRemoved/PUNKTSKY_00005_1km_6204_505_height_filtered.laz,0.932092004381161,0.5114938161635677,6777427,10043,3310815,0.5114938161635677,682,{'canny_lower': 24, 'canny_upper': 59, 'cc_area': 3429, 'closing_kernel_size': 3, 'distance_resolution': 3, 'hough_lines_treshold': 55, 'max_line_gap': 32, 'meters_around_line': 6, 'min_line_length': 41, 'opening_kernel_size': 3, 'path': '/home/nxw500/data/', 'simplify_tolerance': 8, 'small_dialation_kernel': 3}
10,/home/nxw500/data/LazFilesWithHeightRemoved/PUNKTSKY_00005_1km_6205_513_height_filtered.laz,0.9989183935793334,0.1461770827559713,8371408,63794,7147700,0.1461770827559713,69,{'canny_lower': 24, 'canny_upper': 59, 'cc_area': 3429, 'closing_kernel_size': 3, 'distance_resolution': 3, 'hough_lines_treshold': 55, 'max_line_gap': 32, 'meters_around_line': 6, 'min_line_length': 41, 'opening_kernel_size': 3, 'path': '/home/nxw500/data/', 'simplify_tolerance': 8, 'small_dialation_kernel': 3}
11,/home/nxw500/data/LazFilesWithHeightRemoved/PUNKTSKY_00005_1km_6211_474_height_filtered.laz,0.9982082866741321,0.04426344942741944,3029181,31255,2895099,0.04426344942741944,56,{'canny_lower': 24, 'canny_upper': 59, 'cc_area': 3429, 'closing_kernel_size': 3, 'distance_resolution': 3, 'hough_lines_treshold': 55, 'max_line_gap': 32, 'meters_around_line': 6, 'min_line_length': 41, 'opening_kernel_size': 3, 'path': '/home/nxw500/data/', 'simplify_tolerance': 8, 'small_dialation_kernel': 3}
