12,/home/nxw500/data/LazFilesWithHeightRemoved/PUNKTSKY_00005_1km_6219_494_height_filtered.laz,0.0,1.0,3227354,18238,0,18238,{'canny_lower': 24, 'canny_upper': 151, 'cc_area': 6231, 'closing_kernel_size': 5, 'distance_resolution': 9, 'hough_lines_treshold': 147, 'max_line_gap': 7, 'meters_around_line': 3, 'min_line_length': 30, 'opening_kernel_size': 3, 'path': '/home/nxw500/data/', 'simplify_tolerance': 8, 'small_dialation_kernel': 1}
13,/home/nxw500/data/LazFilesWithHeightRemoved/PUNKTSKY_00005_1km_6220_495_height_filtered.laz,0.0,0.9968125928087314,3999489,16661,12748,16661,{'canny_lower': 24, 'canny_upper': 151, 'cc_area': 6231, 'closing_kernel_size': 5, 'distance_resolution': 9, 'hough_lines_treshold': 147, 'max_line_gap': 7, 'meters_around_line': 3, 'min_line_length': 30, 'opening_kernel_size': 3, 'path': '/home/nxw500/data/', 'simplify_tolerance': 8, 'small_dialation_kernel': 1}
14,/home/nxw500/data/LazFilesWithHeightRemoved/PUNKTSKY_00005_1km_6221_452_height_filtered.laz,0.13789121145628824,0.9747638069875088,47313,8659,1194,7465,{'canny_lower': 24, 'canny_upper': 151, 'cc_area': 6231, 'closing_kernel_size': 5, 'distance_resolution': 9, 'hough_lines_treshold': 147, 'max_line_gap': 7, 'meters_around_line': 3, 'min_line_length': 30, 'opening_kernel_size': 3, 'path': '/home/nxw500/data/', 'simplify_tolerance': 8, 'small_dialation_kernel': 1}
0,/home/nxw500/data/LazFilesWithHeightRemoved/PUNKTSKY_00005_1km_6134_518_height_filtered.laz,0.9985022466300549,0.5918005889089817,3305774,10015,1349415,15,{'canny_lower': 14, 'canny_upper': 197, 'cc_area': 9085, 'closing_kernel_size': 5, 'distance_resolution': 3, 'hough_lines_treshold': 29, 'max_line_gap': 39, 'meters_around_line': 7, 'min_line_length': 7, 'opening_kernel_size': 3, 'path': '/home/nxw500/data/', 'simplify_tolerance': 8, 'small_dialation_kernel': 3}
1,/home/nxw500/data/LazFilesWithHeightRemoved/PUNKTSKY_00005_1km_6146_468_height_filtered.laz,0.9975676497415628,0.09968137880001582,3619031,78936,3258281,192,{'canny_lower': 14, 'canny_upper': 197, 'cc_area': 9085, 'closing_kernel_size': 5, 'distance_resolution': 3, 'hough_lines_treshold': 29, 'max_line_gap': 39, 'meters_around_line': 7, 'min_line_length': 7, 'opening_kernel_size': 3, 'path': '/home/nxw500/data/', 'simplify_tolerance': 8, 'small_dialation_kernel': 3}
2,/home/nxw500/data/LazFilesWithHeightRemoved/PUNKTSKY_00005_1km_6161_465_height_filtered.laz,0.45273833671399594,0.72484477175576,6931084,7395,1907124,4047,{'canny_lower': 14, 'canny_upper': 197, 'cc_area': 9085, 'closing_kernel_size': 5, 'distance_resolution': 3, 'hough_lines_treshold': 29, 'max_line_gap': 39, 'meters_around_line': 7, 'min_line_length': 7, 'opening_kernel_size': 3, 'path': '/home/nxw500/data/', 'simplify_tolerance': 8, 'small_dialation_kernel': 3}
3,/home/nxw500/data/LazFilesWithHeightRemoved/PUNKTSKY_00005_1km_6162_472_height_filtered.laz,0.9975054568132211,0.008748928813692047,3627987,67347,3596246,168,{'canny_lower': 14, 'canny_upper': 197, 'cc_area': 9085, 'closing_kernel_size': 5, 'distance_resolution': 3, 'hough_lines_treshold': 29, 'max_line_gap': 39, 'meters_around_line': 7, 'min_line_length': 7, 'opening_kernel_size': 3, 'path': '/home/nxw500/data/', 'simplify_tolerance': 8, 'small_dialation_kernel': 3}
4,/home/nxw500/data/LazFilesWithHeightRemoved/PUNKTSKY_00005_1km_6163_472_height_filtered.laz,0.8304917759038156,0.6763045453069119,8897947,59885,2880225,10151,{'canny_lower': 14, 'canny_upper': 197, 'cc_area': 9085, 'closing_kernel_size': 5, 'distance_resolution': 3, 'hough_lines_treshold': 29, 'max_line_gap': 39, 'meters_around_line': 7, 'min_line_length': 7, 'opening_kernel_size': 3, 'path': '/home/nxw500/data/', 'simplify_tolerance': 8, 'small_dialation_kernel': 3}
5,/home/nxw500/data/LazFilesWithHeightRemoved/PUNKTSKY_00005_1km_6167_473_height_filtered.laz,0.7879353342285624,0.572802406609685,11446476,57341,4889907,12160,{'canny_lower': 14, 'canny_upper': 197, 'cc_area': 9085, 'closing_kernel_size': 5, 'distance_resolution': 3, 'hough_lines_treshold': 29, 'max_line_gap': 39, 'meters_around_line': 7, 'min_line_length': 7, 'opening_kernel_size': 3, 'path': '/home/nxw500/data/', 'simplify_tolerance': 8, 'small_dialation_kernel': 3}
6,/home/nxw500/data/LazFilesWithHeightRemoved/PUNKTSKY_00005_1km_6167_474_height_filtered.laz,0.9596238244514107,0.43525472405760646,16966929,15950,9581993,644,{'canny_lower': 14, 'canny_upper': 197, 'cc_area': 9085, 'closing_kernel_size': 5, 'distance_resolution': 3, 'hough_lines_treshold': 29, 'max_line_gap': 39, 'meters_around_line': 7, 'min_line_length': 7, 'opening_kernel_size': 3, 'path': '/home/nxw500/data/', 'simplify_tolerance': 8, 'small_dialation_kernel': 3}
