12,/home/nxw500/data/LazFilesWithHeightRemoved/PUNKTSKY_00005_1km_6219_494_height_filtered.laz,0.012336879043754797,0.998917379376418,3227354,18238,3494,18013,{'canny_lower': 24, 'canny_upper': 151, 'cc_area': 6231, 'closing_kernel_size': 5, 'distance_resolution': 9, 'hough_lines_treshold': 147, 'max_line_gap': 7, 'meters_around_line': 3, 'min_line_length': 30, 'opening_kernel_size': 3, 'path': '/home/nxw500/data/', 'simplify_tolerance': 8, 'small_dialation_kernel': 1}
13,/home/nxw500/data/LazFilesWithHeightRemoved/PUNKTSKY_00005_1km_6220_495_height_filtered.laz,0.1528719764720005,0.9971111309469785,3999489,16661,11554,14114,{'canny_lower': 24, 'canny_upper': 151, 'cc_area': 6231, 'closing_kernel_size': 5, 'distance_resolution': 9, 'hough_lines_treshold': 147, 'max_line_gap': 7, 'meters_around_line': 3, 'min_line_length': 30, 'opening_kernel_size': 3, 'path': '/home/nxw500/data/', 'simplify_tolerance': 8, 'small_dialation_kernel': 1}
14,/home/nxw500/data/LazFilesWithHeightRemoved/PUNKTSKY_00005_1km_6221_452_height_filtered.laz,0.10393809908765446,0.9809777439604337,47313,8659,900,7759,{'canny_lower': 24, 'canny_upper': 151, 'cc_area': 6231, 'closing_kernel_size': 5, 'distance_resolution': 9, 'hough_lines_treshold': 147, 'max_line_gap': 7, 'meters_around_line': 3, 'min_line_length': 30, 'opening_kernel_size': 3, 'path': '/home/nxw500/data/', 'simplify_tolerance': 8, 'small_dialation_kernel': 1}
0,/home/nxw500/data/LazFilesWithHeightRemoved/PUNKTSKY_00005_1km_6134_518_height_filtered.laz,0.999600599101348,0.6699916570219259,3305774,10015,1090933,4,{'canny_lower': 14, 'canny_upper': 197, 'cc_area': 9085, 'closing_kernel_size': 5, 'distance_resolution': 3, 'hough_lines_treshold': 29, 'max_line_gap': 39, 'meters_around_line': 7, 'min_line_length': 7, 'opening_kernel_size': 3, 'path': '/home/nxw500/data/', 'simplify_tolerance': 8, 'small_dialation_kernel': 3}
1,/home/nxw500/data/LazFilesWithHeightRemoved/PUNKTSKY_00005_1km_6146_468_height_filtered.laz,0.9994172494172494,0.13609637496887983,3619031,78936,3126494,46,{'canny_lower': 14, 'canny_upper': 197, 'cc_area': 9085, 'closing_kernel_size': 5, 'distance_resolution': 3, 'hough_lines_treshold': 29, 'max_line_gap': 39, 'meters_around_line': 7, 'min_line_length': 7, 'opening_kernel_size': 3, 'path': '/home/nxw500/data/', 'simplify_tolerance': 8, 'small_dialation_kernel': 3}
2,/home/nxw500/data/LazFilesWithHeightRemoved/PUNKTSKY_00005_1km_6161_465_height_filtered.laz,0.7048005409060176,0.7354663426384676,6931084,7395,1833505,2183,{'canny_lower': 14, 'canny_upper': 197, 'cc_area': 9085, 'closing_kernel_size': 5, 'distance_resolution': 3, 'hough_lines_treshold': 29, 'max_line_gap': 39, 'meters_around_line': 7, 'min_line_length': 7, 'opening_kernel_size': 3, 'path': '/home/nxw500/data/', 'simplify_tolerance': 8, 'small_dialation_kernel': 3}
3,/home/nxw500/data/LazFilesWithHeightRemoved/PUNKTSKY_00005_1km_6162_472_height_filtered.laz,0.9994506065600547,0.01630490958209052,3627987,67347,3568833,37,{'canny_lower': 14, 'canny_upper': 197, 'cc_area': 9085, 'closing_kernel_size': 5, 'distance_resolution': 3, 'hough_lines_treshold': 29, 'max_line_gap': 39, 'meters_around_line': 7, 'min_line_length': 7, 'opening_kernel_size': 3, 'path': '/home/nxw500/data/', 'simplify_tolerance': 8, 'small_dialation_kernel': 3}
4,/home/nxw500/data/LazFilesWithHeightRemoved/PUNKTSKY_00005_1km_6163_472_height_filtered.laz,0.9996827252233448,0.6315805207650709,8897947,59885,3278177,19,{'canny_lower': 14, 'canny_upper': 197, 'cc_area': 9085, 'closing_kernel_size': 5, 'distance_resolution': 3, 'hough_lines_treshold': 29, 'max_line_gap': 39, 'meters_around_line': 7, 'min_line_length': 7, 'opening_kernel_size': 3, 'path': '/home/nxw500/data/', 'simplify_tolerance': 8, 'small_dialation_kernel': 3}
5,/home/nxw500/data/LazFilesWithHeightRemoved/PUNKTSKY_00005_1km_6167_473_height_filtered.laz,0.8416839608656982,0.6730172674978745,11446476,57341,3742800,9078,{'canny_lower': 14, 'canny_upper': 197, 'cc_area': 9085, 'closing_kernel_size': 5, 'distance_resolution': 3, 'hough_lines_treshold': 29, 'max_line_gap': 39, 'meters_around_line': 7, 'min_line_length': 7, 'opening_kernel_size': 3, 'path': '/home/nxw500/data/', 'simplify_tolerance': 8, 'small_dialation_kernel': 3}
6,/home/nxw500/data/LazFilesWithHeightRemoved/PUNKTSKY_00005_1km_6167_474_height_filtered.laz,0.9465830721003134,0.6921327955106078,16966929,15950,5223561,852,{'canny_lower': 14, 'canny_upper': 197, 'cc_area': 9085, 'closing_kernel_size': 5, 'distance_resolution': 3, 'hough_lines_treshold': 29, 'max_line_gap': 39, 'meters_around_line': 7, 'min_line_length': 7, 'opening_kernel_size': 3, 'path': '/home/nxw500/data/', 'simplify_tolerance': 8, 'small_dialation_kernel': 3}
7,/home/nxw500/data/LazFilesWithHeightRemoved/PUNKTSKY_00005_1km_6167_475_height_filtered.laz,0.978621923175198,0.2956765070484503,16146528,23482,11372379,502,{'canny_lower': 14, 'canny_upper': 197, 'cc_area': 9085, 'closing_kernel_size': 5, 'distance_resolution': 3, 'hough_lines_treshold': 29, 'max_line_gap': 39, 'meters_around_line': 7, 'min_line_length': 7, 'opening_kernel_size': 3, 'path': '/home/nxw500/data/', 'simplify_tolerance': 8, 'small_dialation_kernel': 3}
8,/home/nxw500/data/LazFilesWithHeightRemoved/PUNKTSKY_00005_1km_6168_458_height_filtered.laz,0.0,0.6228659597614012,1643596,15291,619856,15291,{'canny_lower': 14, 'canny_upper': 197, 'cc_area': 9085, 'closing_kernel_size': 5, 'distance_resolution': 3, 'hough_lines_treshold': 29, 'max_line_gap': 39, 'meters_around_line': 7, 'min_line_length': 7, 'opening_kernel_size': 3, 'path': '/home/nxw500/data/', 'simplify_tolerance': 8, 'small_dialation_kernel': 3}
9,/home/nxw500/data/LazFilesWithHeightRemoved/PUNKTSKY_00005_1km_6204_505_height_filtered.laz,0.9993029971124167,0.2207384896952782,6777427,10043,5281388,7,{'canny_lower': 14, 'canny_upper': 197, 'cc_area': 9085, 'closing_kernel_size': 5, 'distance_resolution': 3, 'hough_lines_treshold': 29, 'max_line_gap': 39, 'meters_around_line': 7, 'min_line_length': 7, 'opening_kernel_size': 3, 'path': '/home/nxw500/data/', 'simplify_tolerance': 8, 'small_dialation_kernel': 3}
10,/home/nxw500/data/LazFilesWithHeightRemoved/PUNKTSKY_00005_1km_6205_513_height_filtered.laz,0.9995924381603286,0.3226219532007041,8371408,63794,5670608,26,{'canny_lower': 14, 'canny_upper': 197, 'cc_area': 9085, 'closing_kernel_size': 5, 'distance_resolution': 3, 'hough_lines_treshold': 29, 'max_line_gap': 39, 'meters_around_line': 7, 'min_line_length': 7, 'opening_kernel_size': 3, 'path': '/home/nxw500/data/', 'simplify_tolerance': 8, 'small_dialation_kernel': 3}
