12,/home/nxw500/data/LazFilesWithHeightRemoved/PUNKTSKY_00005_1km_6219_494_height_filtered.laz,0.9305844939138064,0.823946799762282,3227354,18238,568186,1266,{'canny_lower': 28, 'canny_upper': 167, 'cc_area': 5623, 'closing_kernel_size': 1, 'distance_resolution': 1, 'hough_lines_treshold': 82, 'max_line_gap': 16, 'meters_around_line': 4, 'min_line_length': 6, 'opening_kernel_size': 1, 'path': '/home/nxw500/data/', 'simplify_tolerance': 8, 'small_dialation_kernel': 5}
13,/home/nxw500/data/LazFilesWithHeightRemoved/PUNKTSKY_00005_1km_6220_495_height_filtered.laz,0.9990396734889863,0.5955370798619524,3999489,16661,1617645,16,{'canny_lower': 28, 'canny_upper': 167, 'cc_area': 5623, 'closing_kernel_size': 1, 'distance_resolution': 1, 'hough_lines_treshold': 82, 'max_line_gap': 16, 'meters_around_line': 4, 'min_line_length': 6, 'opening_kernel_size': 1, 'path': '/home/nxw500/data/', 'simplify_tolerance': 8, 'small_dialation_kernel': 5}
14,/home/nxw500/data/LazFilesWithHeightRemoved/PUNKTSKY_00005_1km_6221_452_height_filtered.laz,0.9677791892828271,0.816604315938537,47313,8659,8677,279,{'canny_lower': 28, 'canny_upper': 167, 'cc_area': 5623, 'closing_kernel_size': 1, 'distance_resolution': 1, 'hough_lines_treshold': 82, 'max_line_gap': 16, 'meters_around_line': 4, 'min_line_length': 6, 'opening_kernel_size': 1, 'path': '/home/nxw500/data/', 'simplify_tolerance': 8, 'small_dialation_kernel': 5}
0,/home/nxw500/data/LazFilesWithHeightRemoved/PUNKTSKY_00005_1km_6134_518_height_filtered.laz,0.999600599101348,0.8293159181480646,3305774,10015,564243,4,{'canny_lower': 24, 'canny_upper': 172, 'cc_area': 5908, 'closing_kernel_size': 1, 'distance_resolution': 1, 'hough_lines_treshold': 69, 'max_line_gap': 23, 'meters_around_line': 6, 'min_line_length': 4, 'opening_kernel_size': 1, 'path': '/home/nxw500/data/', 'simplify_tolerance': 8, 'small_dialation_kernel': 5}
1,/home/nxw500/data/LazFilesWithHeightRemoved/PUNKTSKY_00005_1km_6146_468_height_filtered.laz,0.9986064659977704,0.40188437181112846,3619031,78936,2164599,110,{'canny_lower': 24, 'canny_upper': 172, 'cc_area': 5908, 'closing_kernel_size': 1, 'distance_resolution': 1, 'hough_lines_treshold': 69, 'max_line_gap': 23, 'meters_around_line': 6, 'min_line_length': 4, 'opening_kernel_size': 1, 'path': '/home/nxw500/data/', 'simplify_tolerance': 8, 'small_dialation_kernel': 5}
2,/home/nxw500/data/LazFilesWithHeightRemoved/PUNKTSKY_00005_1km_6161_465_height_filtered.laz,0.9991886409736308,0.653965815448204,6931084,7395,2398392,6,{'canny_lower': 24, 'canny_upper': 172, 'cc_area': 5908, 'closing_kernel_size': 1, 'distance_resolution': 1, 'hough_lines_treshold': 69, 'max_line_gap': 23, 'meters_around_line': 6, 'min_line_length': 4, 'opening_kernel_size': 1, 'path': '/home/nxw500/data/', 'simplify_tolerance': 8, 'small_dialation_kernel': 5}
3,/home/nxw500/data/LazFilesWithHeightRemoved/PUNKTSKY_00005_1km_6162_472_height_filtered.laz,0.9915512198019214,0.4122625025944139,3627987,67347,2132304,569,{'canny_lower': 24, 'canny_upper': 172, 'cc_area': 5908, 'closing_kernel_size': 1, 'distance_resolution': 1, 'hough_lines_treshold': 69, 'max_line_gap': 23, 'meters_around_line': 6, 'min_line_length': 4, 'opening_kernel_size': 1, 'path': '/home/nxw500/data/', 'simplify_tolerance': 8, 'small_dialation_kernel': 5}
4,/home/nxw500/data/LazFilesWithHeightRemoved/PUNKTSKY_00005_1km_6163_472_height_filtered.laz,0.9991984637221341,0.33403019820189983,8897947,59885,5925764,48,{'canny_lower': 24, 'canny_upper': 172, 'cc_area': 5908, 'closing_kernel_size': 1, 'distance_resolution': 1, 'hough_lines_treshold': 69, 'max_line_gap': 23, 'meters_around_line': 6, 'min_line_length': 4, 'opening_kernel_size': 1, 'path': '/home/nxw500/data/', 'simplify_tolerance': 8, 'small_dialation_kernel': 5}
5,/home/nxw500/data/LazFilesWithHeightRemoved/PUNKTSKY_00005_1km_6167_473_height_filtered.laz,0.9744336513140684,0.6809674872860434,11446476,57341,3651798,1466,{'canny_lower': 24, 'canny_upper': 172, 'cc_area': 5908, 'closing_kernel_size': 1, 'distance_resolution': 1, 'hough_lines_treshold': 69, 'max_line_gap': 23, 'meters_around_line': 6, 'min_line_length': 4, 'opening_kernel_size': 1, 'path': '/home/nxw500/data/', 'simplify_tolerance': 8, 'small_dialation_kernel': 5}
6,/home/nxw500/data/LazFilesWithHeightRemoved/PUNKTSKY_00005_1km_6167_474_height_filtered.laz,0.9946081504702194,0.5466742979828583,16966929,15950,7691545,86,{'canny_lower': 24, 'canny_upper': 172, 'cc_area': 5908, 'closing_kernel_size': 1, 'distance_resolution': 1, 'hough_lines_treshold': 69, 'max_line_gap': 23, 'meters_around_line': 6, 'min_line_length': 4, 'opening_kernel_size': 1, 'path': '/home/nxw500/data/', 'simplify_tolerance': 8, 'small_dialation_kernel': 5}
